grupo,1. Los proyectos o ideas nuevas me distraen de proyectos o ideas que ten¡a desde antes.,"2. Los ¢bstaculos no me desaniman
","3. Estuve concentrado en una idea o proyecto por un corto tiempo, pero despu‚s perd¡ inter‚s ","4. Trabajo duro
","5. Con frecuencia me propongo un objetivo, pero luego trato de cumplir un objetivo diferente",6. Me resulta dificil mantener mi atenci¢n en proyectos que duran m s all  de algunos meses en terminar,7. Soy chambeador(a),p8_apostarmil,p9_batepelota,p10_tandacorto,p11_tandalargo,p12_retornodeposito,p13_preciosbajan,escol,p15_estadocivil,16. ¨Cu les de los siguientes grupos de personas dependen de usted?,p16_1menores,p16_2adulmay,p16_3otros,ESTATUS Tel Casa,Estatus Celular,Status,edad,hijos,statusempleo,genero,celular,lineafija,Status de residencia,Ingresos comprobados,Ingresos no comprobados,Prestamos con Provident,Prestamos activos,Monto de los prestamos activos,Total a Pagar,Monto atrasado,Pago semanal,SCelular,STelCasa,SResidencia,Genero
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,23,0,Auto empleado,FE,Y,N,Renta,5000,0,2,1,6000,12360,-70,240,1,0,2,1
Current,5.Totalmente de acuerdo,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,500.00,110.00,1,1,1224.00,FALSO,3ro Secundaria,Viudo,,0,0,0,,Efectiva,Completa,60,0,Auto empleado,FE,Y,N,Propietario,0,4500,1,1,3500,6615,2470,210,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,33,1,Auto empleado,MA,Y,N,Propietario,8000,0,1,1,4000,7560,1900,240,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,22,0,Auto empleado,FE,Y,N,Vive con padres,0,4000,2,1,1500,2970,0,72,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,,No realizada,19,1,Auto empleado,FE,N,Y,Vive con padres,0,3500,1,0,0,0,0,0,0,1,1,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,22,1,Auto empleado,FE,Y,N,Vive con padres,0,3000,2,1,3000,6180,-120,120,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,39,0,Auto empleado,MA,Y,N,Vive con padres,0,3800,1,1,1500,2835,-90,90,1,0,1,0
Current,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,0.00,10.00,1,1,1200.00,FALSO,2do Preparatoria,Divorciado,,0,0,0,,Efectiva,Completa,55,0,Auto empleado,MA,Y,N,Renta,0,5200,2,2,8000,16055,-1220,370,1,0,2,0
Current,2. Desacuerdo,5.Totalmente de acuerdo,4. De acuerdo,5.Totalmente de acuerdo,3. Indiferente,5.Totalmente de acuerdo,5.Totalmente de acuerdo,700.00,10.00,1,1,1200.00,VERDADERO,6to Primaria,Uni¢n Libre,,0,1,1,,Efectiva,Completa,53,0,Auto empleado,MA,Y,N,Vive con padres,8000,0,1,1,2500,4725,-150,150,1,0,1,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,62,0,Auto empleado,FE,Y,N,Propietario,7000,0,11,2,7500,15450,3360,300,1,0,3,1
Current,4. De acuerdo,3. Indiferente,3. Indiferente,4. De acuerdo,4. De acuerdo,4. De acuerdo,5.Totalmente de acuerdo,800.00,10.00,1,1,1400.00,VERDADERO,6to Primaria,Casado,,1,0,0,,Efectiva,Completa,42,0,Auto empleado,FE,Y,N,Propietario,0,6000,11,2,10500,21630,200,420,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,No existe,Fuera de Servicio,No realizada,31,0,Auto empleado,MA,Y,Y,Propietario,0,3800,6,1,4300,8514,2656,206.4,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,46,0,Auto empleado,FE,Y,N,Propietario,0,3200,6,2,3500,7210,885,140,1,0,3,1
Current,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,2. Desacuerdo,5.Totalmente de acuerdo,2. Desacuerdo,4. De acuerdo,5.Totalmente de acuerdo,1000.00,10.00,1,1,1020.00,FALSO,Licenciatura,Divorciado,,1,0,0,,Efectiva,Completa,44,0,Auto empleado,FE,Y,N,Propietario,0,10800,9,2,13000,26780,570,520,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,,No realizada,40,0,Auto empleado,MA,N,Y,Propietario,0,6000,7,2,2000,3960,214,96,0,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,25,0,Auto empleado,FE,Y,N,Vive con padres,0,3200,4,1,4000,7920,3190,192,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,No contesta,,No realizada,66,0,Auto empleado,FE,N,N,Propietario,0,7000,4,2,20000,41200,-1200,800,0,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,41,0,Auto empleado,MA,Y,N,Propietario,0,5000,1,1,2000,3780,100,120,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,39,0,Auto empleado,MA,Y,N,Propietario,0,4000,2,1,2000,4120,0,80,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,22,0,Auto empleado,MA,N,N,Propietario,0,4000,2,1,6000,12360,-240,240,0,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,40,0,Auto empleado,MA,Y,N,Propietario,5000,0,1,1,3000,5670,-380,180,1,0,3,0
Current,3. Indiferente,3. Indiferente,4. De acuerdo,3. Indiferente,2. Desacuerdo,4. De acuerdo,5.Totalmente de acuerdo,0.00,10.00,1,1,1240.00,FALSO,3ro Secundaria,Uni¢n Libre,,0,0,0,,Efectiva,Completa,53,0,Auto empleado,FE,Y,N,Propietario,0,10000,1,1,3000,5670,830,180,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,26,0,Auto empleado,FE,Y,N,Propietario,6000,0,1,1,3500,6615,-200,210,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,38,0,Auto empleado,FE,Y,N,Vive con padres,0,4500,3,1,1000,1980,-24,48,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,51,0,Auto empleado,MA,Y,N,Propietario,0,7000,3,1,6900,13662,8688,331.2,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,62,0,Auto empleado,FE,Y,N,Propietario,0,12000,3,1,14200,28116,3660.4,681.6,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,No existe,,No realizada,39,0,Auto empleado,FE,N,Y,Propietario,0,4000,1,1,1500,2970,786,72,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,Ocupado,No realizada,45,0,Auto empleado,FE,Y,N,Propietario,0,6500,3,1,2500,4950,-730,120,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,46,2,Auto empleado,FE,Y,N,Propietario,3700,0,7,1,3000,6180,260,120,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,No quizo particpar,,No realizada,54,0,Auto empleado,FE,N,Y,Propietario,3200,0,5,1,10000,20600,7700,400,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,Numero Equivocado,,No realizada,63,0,Auto empleado,FE,N,Y,Propietario,4000,0,7,1,8000,15840,1181,384,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,Apagado,No realizada,62,2,Auto empleado,FE,Y,N,Renta,0,8000,10,2,14500,29870,7640,580,1,0,2,1
Current,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,2. Desacuerdo,3. Indiferente,4. De acuerdo,2. Desacuerdo,5.Totalmente de acuerdo,0.00,10.00,1,1,1200.00,VERDADERO,2do secundaria,Casado,,2,0,1,Efectiva,No contesta,Completa,55,2,Auto empleado,MA,Y,Y,Propietario,0,8000,7,2,17500,36050,200,700,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,46,0,Auto empleado,FE,Y,N,Renta,0,8500,6,1,10000,18900,2306,600,1,0,2,1
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,50,0,Auto empleado,FE,Y,N,Propietario,3500,5000,9,2,2500,5030,304,112,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,Numero Equivocado,Fuera de servicio,No realizada,37,0,Auto empleado,FE,Y,Y,Propietario,0,10000,5,1,10000,20600,400,400,1,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,40,3,Auto empleado,MA,Y,N,Propietario,6000,0,3,1,5000,10300,1370,200,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No realizada,37,2,Auto empleado,FE,Y,N,Vive con padres,8000,0,6,1,8000,16480,6470,320,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No existe,No realizada,25,0,Auto empleado,MA,Y,N,Propietario,0,4600,5,2,4000,8240,3518,160,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,37,0,Auto empleado,FE,Y,N,Propietario,0,10000,3,1,5000,9900,20,240,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,No quizo particpar,Fuera de servicio,No realizada,43,0,Auto empleado,MA,Y,Y,Propietario,0,12000,7,1,15000,30900,1800,600,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,No existe,Fuera de servicio,No realizada,47,0,Auto empleado,FE,Y,Y,Vive con padres,0,8000,5,2,11500,23690,9250,460,1,1,1,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,33,0,Auto empleado,FE,Y,N,Vive con padres,0,6000,2,1,8000,16480,4180,320,1,0,1,1
Current,4. De acuerdo,4. De acuerdo,3. Indiferente,4. De acuerdo,2. Desacuerdo,2. Desacuerdo,5.Totalmente de acuerdo,500.00,12.00,1,1,12400.00,FALSO,6to Primaria,Casado,,1,0,0,,Efectiva,Completa,41,0,Auto empleado,FE,Y,N,Vive con padres,0,5000,4,1,2500,5150,1400,100,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,,No realizada,62,0,Auto empleado,FE,N,Y,Propietario,0,4500,4,2,10000,20600,1900,400,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,26,0,Auto empleado,FE,Y,N,Propietario,4200,0,2,1,5500,11330,2650,220,1,0,3,1
Current,2. Desacuerdo,4. De acuerdo,3. Indiferente,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,4. De acuerdo,5.Totalmente de acuerdo,900.00,100.00,1,1,1800.00,FALSO,3ro Preparatoria,Divorciado,,1,1,0,,Efectiva,Completa,33,0,Auto empleado,FE,Y,N,Vive con padres,0,7000,3,2,8000,16480,3750,320,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,Fuera de servicio,No realizada,42,0,Auto empleado,MA,Y,Y,Propietario,0,8000,11,2,20600,41988,856.8,868.8,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No contesta,No realizada,38,0,Auto empleado,FE,Y,Y,Propietario,0,12000,3,1,4500,9270,420,180,1,1,3,1
Current,3. Indiferente,5.Totalmente de acuerdo,2. Desacuerdo,5.Totalmente de acuerdo,2. Desacuerdo,2. Desacuerdo,5.Totalmente de acuerdo,500.00,10.00,1,1,800.00,FALSO,3ro Preparatoria,Casado,,0,0,0,Efectiva,,Completa,54,0,Auto empleado,FE,Y,Y,Propietario,0,35000,7,2,9000,18540,0,360,1,1,3,1
Current,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No contesta,No realizada,40,0,Auto empleado,FE,Y,Y,Vive con padres,0,8000,5,2,6000,12040,-616,272,1,1,1,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,58,0,Auto empleado,MA,Y,N,Propietario,0,10000,11,0,0,0,0,0,1,0,3,0
Current,3. Indiferente,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,1000.00,10.00,1,1,12000.00,FALSO,6to Primaria,Casado,,0,0,1,Efectiva,,Completa,58,0,Auto empleado,MA,N,Y,Propietario,9000,0,6,1,4000,8240,3880,160,0,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,55,0,Auto empleado,MA,Y,N,Propietario,0,7000,8,2,9000,18540,360,360,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,41,0,Auto empleado,FE,Y,N,Propietario,0,3000,4,1,3000,5670,2000,180,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,22,2,Auto empleado,FE,Y,N,Vive con padres,0,14000,1,1,3000,5940,1898,144,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No existe,No realizada,32,2,Auto empleado,FE,Y,N,Propietario,11200,3200,11,1,4500,8910,600,216,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,52,0,Auto empleado,FE,Y,N,Propietario,8000,0,6,2,7500,14940,-390,360,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,,No realizada,32,3,Auto empleado,FE,Y,N,Propietario,0,4000,1,1,3000,5670,180,180,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,37,2,Auto empleado,FE,Y,N,Propietario,0,4000,1,1,2500,4725,0,150,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,29,4,Auto empleado,FE,Y,N,Vive con padres,3200,2000,5,1,5500,11330,4920,220,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,20,1,Auto empleado,FE,Y,N,Propietario,0,5000,1,1,3000,5670,780,180,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,Ocupado,No contesta,No realizada,37,2,Auto empleado,MA,Y,Y,Propietario,0,9500,7,2,7000,14220,1920,300,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,54,0,Auto empleado,FE,Y,N,Vive con padres,0,4000,9,1,5000,10300,-200,200,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No realizada,30,0,Auto empleado,FE,Y,N,Vive con padres,0,4200,7,2,6000,12040,4364,272,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,26,0,Auto empleado,FE,Y,N,Propietario,4000,1000,3,1,3200,6048,908,192,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,30,0,Auto empleado,FE,Y,N,Vive con padres,0,8200,4,1,10000,19800,200,480,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,35,0,Auto empleado,MA,Y,N,Propietario,0,6000,4,1,1500,3090,1490,60,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,29,2,Auto empleado,FE,Y,N,Propietario,2000,2000,3,1,2000,3960,1028,96,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No realizada,36,4,Auto empleado,FE,Y,N,Propietario,7200,5200,5,2,5500,11330,520,220,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,39,3,Auto empleado,FE,Y,N,Vive con padres,0,5000,3,1,1000,1890,60,60,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No realizada,24,0,Auto empleado,FE,Y,N,Vive con padres,6000,0,1,1,3500,6615,2750,210,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,No contesta,,No realizada,61,0,Auto empleado,FE,N,Y,Propietario,0,7000,2,2,10500,21230,-240,460,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,No existe,No realizada,35,0,Auto empleado,FE,Y,N,Propietario,3700,4600,1,1,3000,5670,-180,180,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No contesta,No realizada,55,0,Auto empleado,FE,Y,Y,Renta,0,6000,3,1,5000,9900,740,240,1,1,2,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,67,0,Auto empleado,MA,Y,N,Propietario,0,3600,2,1,1500,2970,-72,72,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,43,3,Auto empleado,MA,Y,N,Propietario,5200,2400,5,2,10000,20280,112,432,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,50,0,Auto empleado,MA,N,N,Propietario,6000,0,4,2,9500,19570,-476,380,0,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,43,0,Auto empleado,MA,Y,N,Propietario,0,5000,3,2,3000,6180,480,120,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,24,2,Auto empleado,MA,Y,N,Vive con padres,4000,0,3,2,8000,16240,-337,344,1,0,1,0
Current,,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,No realizada,48,0,Auto empleado,MA,Y,N,Propietario,0,1800,1,1,1500,2970,552,72,1,0,3,0
Current,3. Indiferente,2. Desacuerdo,3. Indiferente,1. Totalmente en desacuerdo,3. Indiferente,5.Totalmente de acuerdo,1. Totalmente en desacuerdo,,,,,,,,,,,,,,Colg¢ durante la encuesta,Incompleta,25,1,Auto empleado,MA,Y,N,Vive con padres,0,4000,1,1,2000,3780,300,120,1,0,1,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,23,0,Auto empleado,MA,Y,N,Vive con padres,0,5000,2,1,3500,7210,-160,140,1,0,1,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,21,3,Auto empleado,FE,Y,N,Renta,0,6000,1,1,2100,3969,11,126,1,0,2,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,19,0,Auto empleado,MA,Y,N,Vive con padres,0,2800,1,1,3000,5670,-120,180,1,0,1,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,50,0,Auto empleado,MA,Y,N,Propietario,0,8000,2,2,10500,21230,-460,460,1,0,3,0
Current,2. Desacuerdo,5.Totalmente de acuerdo,3. Indiferente,5.Totalmente de acuerdo,4. De acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,0.00,50.00,1,1,1200.00,VERDADERO,No estudi¢,Soltero,,1,0,4,,Efectiva,Completa,46,0,Auto empleado,FE,Y,N,Propietario,0,3200,1,1,2500,4725,-135,150,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,,No realizada,59,0,Auto empleado,MA,Y,Y,Propietario,4000,0,10,2,6000,12360,-10,240,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,33,0,Auto empleado,FE,Y,N,Propietario,0,8000,3,1,6000,11880,5088,288,1,0,3,1
